topic~key,Book,Citation,bk1,c1,vf1,vt1,bk2,c2,vf2,vt2,bk3,c3,vf3,vt3,bk4,c4,vf4,vf4,bk5,c5,vf5,vt5,bk6,c6,vf6,vt6
le.ep.mc.d217~lemcLI.Epistle.chapverse,1 Corinthians,4.1-5,1 Corinthians,4,1,5,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d218~lemcLI.Epistle.chapverse,2 Corinthians,1.21-24; 2.1-4,2 Corinthians,1,21,24,2 Corinthians,2,1,4,,,,,,,,,,,,,,,,
le.ep.mc.d219~lemcLI.Epistle.chapverse,Galatians,2.11-16,Galatians,2,11,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d220~lemcLI.Epistle.chapverse,Galatians,2.21; 3.1-7,Galatians,2,21,21,Galatians,3,1,7,,,,,,,,,,,,,,,,
le.ep.mc.d221~lemcLI.Epistle.chapverse,Galatians,3.15-22,Galatians,3,15,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d222~lemcLI.Epistle.chapverse,Galatians,3.23-29; 4.1-5,Galatians,3,23,29,Galatians,4,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d223~lemcLI.Epistle.chapverse,Galatians,4.8-21,Galatians,4,8,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d224~lemcLI.Epistle.chapverse,1 Corinthians,4.17-21;5.1-5,1 Corinthians,4,17,21,1 Corinthians,5,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d225~lemcLI.Epistle.chapverse,2 Corinthians,4.6-15,2 Corinthians,4,6,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d226~lemcLI.Epistle.chapverse,Galatians,4.28-31; 5.1-10,Galatians,4,28,31,Galatians,5,1,10,,,,,,,,,,,,,,,,
le.ep.mc.d227~lemcLI.Epistle.chapverse,Galatians,5.11-21,Galatians,5,11,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d228~lemcLI.Epistle.chapverse,Galatians,6.2-10,Galatians,6,2,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d229~lemcLI.Epistle.chapverse,Ephesians,1.1-9,Ephesians,1,1,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d230~lemcLI.Epistle.chapverse,Ephesians,1.7-17,Ephesians,1,7,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d231~lemcLI.Epistle.chapverse,1 Corinthians,10.23-28,1 Corinthians,10,23,28,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d232~lemcLI.Epistle.chapverse,2 Corinthians,6.1-10,2 Corinthians,6,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d233~lemcLI.Epistle.chapverse,Ephesians,1.22-23; 2.1-3,Ephesians,1,22,23,Ephesians,2,1,3,,,,,,,,,,,,,,,,
le.ep.mc.d234~lemcLI.Epistle.chapverse,Ephesians,2.19-22; 3.1-7,Ephesians,2,19,22,Ephesians,3,1,7,,,,,,,,,,,,,,,,
le.ep.mc.d235~lemcLI.Epistle.chapverse,Ephesians,3.8-21,Ephesians,3,8,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d236~lemcLI.Epistle.chapverse,Ephesians,4.14-17,Ephesians,4,14,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d237~lemcLI.Epistle.chapverse,Ephesians,4.17-25,Ephesians,4,17,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d238~lemcLI.Epistle.chapverse,1 Corinthians,14.20-25,1 Corinthians,14,20,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d239~lemcLI.Epistle.chapverse,2 Corinthians,6.16-18; 7.1,2 Corinthians,6,16,18,2 Corinthians,7,1,1,,,,,,,,,,,,,,,,
le.ep.mc.d240~lemcLI.Epistle.chapverse,Ephesians,4.25-32,Ephesians,4,25,32,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d241~lemcLI.Epistle.chapverse,Ephesians,5.20-25,Ephesians,5,20,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d242~lemcLI.Epistle.chapverse,Ephesians,5.25-33,Ephesians,5,25,33,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d243~lemcLI.Epistle.chapverse,Ephesians,5.33; 6.1-9,Ephesians,5,33,33,Ephesians,6,1,9,,,,,,,,,,,,,,,,
le.ep.mc.d244~lemcLI.Epistle.chapverse,Ephesians,6.18-24,Ephesians,6,18,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d245~lemcLI.Epistle.chapverse,1 Corinthians,15.39-45,1 Corinthians,15,39,45,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d246~lemcLI.Epistle.chapverse,2 Corinthians,9.6-11,2 Corinthians,9,6,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d247~lemcLI.Epistle.chapverse,Philippians,1.1-7,Philippians,1,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d248~lemcLI.Epistle.chapverse,Philippians,1.8-14,Philippians,1,8,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d249~lemcLI.Epistle.chapverse,Philippians,1.12-20,Philippians,1,12,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d250~lemcLI.Epistle.chapverse,Philippians,1.20-27,Philippians,1,20,27,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d251~lemcLI.Epistle.chapverse,Philippians,1.27-30; 2.1-4,Philippians,1,27,30,Philippians,2,1,4,,,,,,,,,,,,,,,,
le.ep.mc.d252~lemcLI.Epistle.chapverse,1 Corinthians,15.58; 16.1-3,1 Corinthians,15,58,58,1 Corinthians,16,1,3,,,,,,,,,,,,,,,,
le.ep.mc.d253~lemcLI.Epistle.chapverse,2 Corinthians,11.31-33; 12.1-9,2 Corinthians,11,31,33,2 Corinthians,12,1,9,,,,,,,,,,,,,,,,
le.ep.mc.d254~lemcLI.Epistle.chapverse,Philippians,2.12-16,Philippians,2,12,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d255~lemcLI.Epistle.chapverse,Philippians,2.16-23,Philippians,2,16,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d256~lemcLI.Epistle.chapverse,Philippians,2.24-30,Philippians,2,24,30,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d257~lemcLI.Epistle.chapverse,Philippians,3.1-8,Philippians,3,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d258~lemcLI.Epistle.chapverse,Philippians,3.8-19,Philippians,3,8,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d259~lemcLI.Epistle.chapverse,2 Corinthians,1.8-11,2 Corinthians,1,8,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d260~lemcLI.Epistle.chapverse,Galatians,1.11-19,Galatians,1,11,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d261~lemcLI.Epistle.chapverse,Philippians,4.10-23,Philippians,4,10,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d262~lemcLI.Epistle.chapverse,Colossians,1.1-3; 7-11,Colossians,1,1,3,Colossians,1,7,11,,,,,,,,,,,,,,,,
le.ep.mc.d263~lemcLI.Epistle.chapverse,Colossians,1.18-23,Colossians,1,18,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d264~lemcLI.Epistle.chapverse,Colossians,1.24-29; 2.1,Colossians,1,24,29,Colossians,2,1,1,,,,,,,,,,,,,,,,
le.ep.mc.d265~lemcLI.Epistle.chapverse,Colossians,2.1-7,Colossians,2,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d266~lemcLI.Epistle.chapverse,2 Corinthians,3.12-18,2 Corinthians,3,12,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d267~lemcLI.Epistle.chapverse,Galatians,2.16-20,Galatians,2,16,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d268~lemcLI.Epistle.chapverse,Colossians,2.13-20,Colossians,2,13,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d269~lemcLI.Epistle.chapverse,Colossians,2.20-23; 3.1-3,Colossians,2,20,23,Colossians,3,1,3,,,,,,,,,,,,,,,,
le.ep.mc.d270~lemcLI.Epistle.chapverse,Colossians,3.17-25; 4.1,Colossians,3,17,25,Colossians,4,1,1,,,,,,,,,,,,,,,,
le.ep.mc.d271~lemcLI.Epistle.chapverse,Colossians,4.2-9,Colossians,4,2,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d272~lemcLI.Epistle.chapverse,Colossians,4.10-18,Colossians,4,10,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d273~lemcLI.Epistle.chapverse,2 Corinthians,5.1-10,2 Corinthians,5,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d274~lemcLI.Epistle.chapverse,Galatians,6.11-18,Galatians,6,11,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d275~lemcLI.Epistle.chapverse,1 Thessalonians,1.1-5,1 Thessalonians,1,1,5,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d276~lemcLI.Epistle.chapverse,1 Thessalonians,1.6-10,1 Thessalonians,1,6,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d277~lemcLI.Epistle.chapverse,1 Thessalonians,2.1-8,1 Thessalonians,2,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d278~lemcLI.Epistle.chapverse,1 Thessalonians,2.9-14,1 Thessalonians,2,9,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d279~lemcLI.Epistle.chapverse,1 Thessalonians,2.14-20,1 Thessalonians,2,14,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d280~lemcLI.Epistle.chapverse,2 Corinthians,8.1-5,2 Corinthians,8,1,5,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d281~lemcLI.Epistle.chapverse,Ephesians,2.4-10,Ephesians,2,4,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d282~lemcLI.Epistle.chapverse,1 Thessalonians,2.20-3.8,1 Thessalonians,2,20,20,1 Thessalonians,3,1,8,,,,,,,,,,,,,,,,
le.ep.mc.d283~lemcLI.Epistle.chapverse,1 Thessalonians,3.8-13,1 Thessalonians,3,8,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d284~lemcLI.Epistle.chapverse,1 Thessalonians,4.1-12,1 Thessalonians,4,1,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d285~lemcLI.Epistle.chapverse,1 Thessalonians,4.18-5.10,1 Thessalonians,4,18,18,1 Thessalonians,5,1,10,,,,,,,,,,,,,,,,
le.ep.mc.d286~lemcLI.Epistle.chapverse,1 Thessalonians,5.9-13; 5.24-28,1 Thessalonians,5,9,13,1 Thessalonians,5,24,28,,,,,,,,,,,,,,,,
le.ep.mc.d287~lemcLI.Epistle.chapverse,2 Corinthians,11.1-6,2 Corinthians,11,1,6,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d288~lemcLI.Epistle.chapverse,Ephesians,2.14-22,Ephesians,2,14,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d289~lemcLI.Epistle.chapverse,2 Thessalonians,1.1-10,2 Thessalonians,1,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d290~lemcLI.Epistle.chapverse,2 Thessalonians,1.10-12; 2.1-2,2 Thessalonians,1,10,12,2 Thessalonians,2,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d291~lemcLI.Epistle.chapverse,2 Thessalonians,2.1-12,2 Thessalonians,2,1,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d292~lemcLI.Epistle.chapverse,2 Thessalonians,2.13-17; 3.1-5,2 Thessalonians,2,13,17,2 Thessalonians,3,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d293~lemcLI.Epistle.chapverse,2 Thessalonians,3.6-18,2 Thessalonians,3,6,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d294~lemcLI.Epistle.chapverse,Galatians,1.3-10,Galatians,1,3,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d295~lemcLI.Epistle.chapverse,Ephesians,4.1-7,Ephesians,4,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d296~lemcLI.Epistle.chapverse,1 Timothy,1.1-7,1 Timothy,1,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d297~lemcLI.Epistle.chapverse,1 Timothy,1.8-14,1 Timothy,1,8,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d298~lemcLI.Epistle.chapverse,1 Timothy,1.18-20; 2.8-15,1 Timothy,1,18,20,1 Timothy,2,8,15,,,,,,,,,,,,,,,,
le.ep.mc.d299~lemcLI.Epistle.chapverse,1 Timothy,3.1-13,1 Timothy,3,1,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d300~lemcLI.Epistle.chapverse,1 Timothy,4.4-8; 16,1 Timothy,4,4,8,1 Timothy,4,16,16,,,,,,,,,,,,,,,,
le.ep.mc.d301~lemcLI.Epistle.chapverse,Galatians,3.8-12,Galatians,3,8,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d302~lemcLI.Epistle.chapverse,Ephesians,5.8-19,Ephesians,5,8,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d303~lemcLI.Epistle.chapverse,1 Timothy,5.1-10,1 Timothy,5,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d304~lemcLI.Epistle.chapverse,1 Timothy,5.11-21,1 Timothy,5,11,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d305~lemcLI.Epistle.chapverse,1 Timothy,5.22-25; 6.1-11,1 Timothy,5,22,25,1 Timothy,6,1,11,,,,,,,,,,,,,,,,
le.ep.mc.d306~lemcLI.Epistle.chapverse,1 Timothy,6.17-21,1 Timothy,6,17,21,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d307~lemcLI.Epistle.chapverse,2 Timothy,1.1-2; 8-18,2 Timothy,1,1,2,2 Timothy,1,2,18,,,,,,,,,,,,,,,,
le.ep.mc.d308~lemcLI.Epistle.chapverse,Galatians,5.22-26; 6.1-2,Galatians,5,22,26,Galatians,6,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d309~lemcLI.Epistle.chapverse,Ephesians,6.10-17,Ephesians,6,10,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d310~lemcLI.Epistle.chapverse,2 Timothy,2.20-26,2 Timothy,2,20,26,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d311~lemcLI.Epistle.chapverse,2 Timothy,3.16-17; 4.1-4,2 Timothy,3,16,17,2 Timothy,4,1,4,,,,,,,,,,,,,,,,
le.ep.mc.d312~lemcLI.Epistle.chapverse,2 Timothy,4.9-22,2 Timothy,4,9,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d313~lemcLI.Epistle.chapverse,Titus,1.5-14,Titus,1,5,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d314~lemcLI.Epistle.chapverse,Titus,1.15-16; 2.1-10,Titus,1,15,16,Titus,2,1,10,,,,,,,,,,,,,,,,
le.ep.mc.d315~lemcLI.Epistle.chapverse,Ephesians,1.16-23,Ephesians,1,16,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d316~lemcLI.Epistle.chapverse,Colossians,1.12-18,Colossians,1,12,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d317~lemcLI.Epistle.chapverse,Hebrews,3.5-11; 17-19,Hebrews,3,5,11,Hebrews,3,17,19,,,,,,,,,,,,,,,,
le.ep.mc.d318~lemcLI.Epistle.chapverse,Hebrews,4.1-13,Hebrews,4,1,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d319~lemcLI.Epistle.chapverse,Hebrews,5.11-14; 6.1-8,Hebrews,5,11,14,Hebrews,6,1,8,,,,,,,,,,,,,,,,
le.ep.mc.d320~lemcLI.Epistle.chapverse,Hebrews,7.1-6,Hebrews,7,1,6,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d321~lemcLI.Epistle.chapverse,Hebrews,7.18-25,Hebrews,7,18,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d322~lemcLI.Epistle.chapverse,Ephesians,2.11-13,Ephesians,2,11,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d323~lemcLI.Epistle.chapverse,Colossians,3.4-11,Colossians,3,4,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d324~lemcLI.Epistle.chapverse,Hebrews,8.7-13,Hebrews,8,7,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d325~lemcLI.Epistle.chapverse,Hebrews,9.8-23,Hebrews,9,8,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d326~lemcLI.Epistle.chapverse,Hebrews,10.1-18,Hebrews,10,1,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d327~lemcLI.Epistle.chapverse,Hebrews,10.35-39; 11.1-7,Hebrews,10,35,39,Hebrews,11,1,7,,,,,,,,,,,,,,,,
le.ep.mc.d328~lemcLI.Epistle.chapverse,Hebrews,11.8-16,Hebrews,11,8,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d329~lemcLI.Epistle.chapverse,Ephesians,5.1-8,Ephesians,5,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d330~lemcLI.Epistle.chapverse,Colossians,3.12-16,Colossians,3,12,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d331~lemcLI.Epistle.chapverse,Hebrews,11.17-31,Hebrews,11,17,31,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d332~lemcLI.Epistle.chapverse,Hebrews,12.25-27; 13.22-25,Hebrews,12,25,27,Hebrews,13,22,25,,,,,,,,,,,,,,,,
le.ep.mc.d333~lemcLI.Epistle.chapverse,James,1.1-18,James,1,1,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d334~lemcLI.Epistle.chapverse,James,1.19-27,James,1,19,27,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d335~lemcLI.Epistle.chapverse,James,2.1-13,James,2,1,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d336~lemcLI.Epistle.chapverse,Colossians,1.1-6,Colossians,1,1,6,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d337~lemcLI.Epistle.chapverse,1 Timothy,1.15-17,1 Timothy,1,15,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d338~lemcLI.Epistle.chapverse,James,2.14-26,James,2,14,26,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d339~lemcLI.Epistle.chapverse,James,3.1-10,James,3,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d340~lemcLI.Epistle.chapverse,James,3.11-18; 4.1-6,James,3,11,18,James,4,1,6,,,,,,,,,,,,,,,,
le.ep.mc.d341~lemcLI.Epistle.chapverse,James,4.7-17; 5.1-9,James,4,7,17,James,5,1,9,,,,,,,,,,,,,,,,
le.ep.mc.d342~lemcLI.Epistle.chapverse,1 Peter,1.1-25; 2.1-10,1 Peter,1,1,25,1 Peter,2,1,10,,,,,,,,,,,,,,,,
le.ep.mc.d343~lemcLI.Epistle.chapverse,1 Thessalonians,5.14-23,1 Thessalonians,5,14,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d344~lemcLI.Epistle.chapverse,1 Timothy,4.9-15,1 Timothy,4,9,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d345~lemcLI.Epistle.chapverse,1 Peter,2.21-25; 3.1-9,1 Peter,2,21,25,1 Peter,3,1,9,,,,,,,,,,,,,,,,
le.ep.mc.d346~lemcLI.Epistle.chapverse,1 Peter,3.10-22,1 Peter,3,10,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d347~lemcLI.Epistle.chapverse,1 Peter,4.1-11,1 Peter,4,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d348~lemcLI.Epistle.chapverse,1 Peter,4.12-19; 5.1-5,1 Peter,4,12,19,1 Peter,5,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d349~lemcLI.Epistle.chapverse,2 Peter,1.1-10,2 Peter,1,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d350~lemcLI.Epistle.chapverse,2 Timothy,2.11-19,2 Timothy,2,11,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d352~lemcLI.Epistle.chapverse,2 Peter,1.20-21; 2.1-9,2 Peter,1,20,21,2 Peter,2,1,9,,,,,,,,,,,,,,,,
le.ep.mc.d353~lemcLI.Epistle.chapverse,2 Peter,2.9-22,2 Peter,2,9,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d354~lemcLI.Epistle.chapverse,2 Peter,3.1-18,2 Peter,3,1,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d355~lemcLI.Epistle.chapverse,1 John,1.8 - 2.6,1 John,1,8,10,1 John,2,1,6,,,,,,,,,,,,,,,,
le.ep.mc.d356~lemcLI.Epistle.chapverse,1 John,2.7-17,1 John,2,7,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d357~lemcLI.Epistle.chapverse,1 Timothy,6.11-17,1 Timothy,6,11,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d359~lemcLI.Epistle.chapverse,1 John,2.18-29; 3.1-8,1 John,2,18,29,1 John,3,1,8,,,,,,,,,,,,,,,,
le.ep.mc.d360~lemcLI.Epistle.chapverse,1 John,3.9-22,1 John,3,9,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d361~lemcLI.Epistle.chapverse,1 John,3.21-24; 4.1-11,1 John,3,21,24,1 John,4,1,11,,,,,,,,,,,,,,,,
le.ep.mc.d362~lemcLI.Epistle.chapverse,1 John,4.20-5.21,1 John,4,20,21,1 John,5,1,21,,,,,,,,,,,,,,,,
le.ep.mc.d363~lemcLI.Epistle.chapverse,2 John,1.1-13,2 John,1,1,13,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d364~lemcLI.Epistle.chapverse,1 Corinthians,10.23-28,1 Corinthians,10,23,28,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d01~lemeLI.Epistle.chapverse,Colossians,2.8-12,Colossians,2,8,12,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d02~lemeLI.Epistle.chapverse,Hebrews,5.4-10,Hebrews,5,4,10,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d04~lemeLI.Epistle.chapverse,1 Corinthians,4.9-16,1 Corinthians,4,9,16,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d05~lemeH1.Epistle.chapverse,Acts,13.25-33,Acts,13,25,33,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d05~lemeH3.Epistle.chapverse,Acts,19.1-8,Acts,19,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d05~lemeH6.Epistle.chapverse,Romans,6.3-11,Romans,6,3,11,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d05~lemeH9.Epistle.chapverse,Titus,2.11-14; 3.4-7,Titus,2,11,14,Titus,3,4,7,,,,,,,,,,,,,,,,
le.ep.me.m01.d06~lemeGW.Epistle.chapverse,1 Corinthians,10.1-4,1 Corinthians,10,1,4,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d06~lemeLI.Epistle.chapverse,Titus,2.11-14; 3.4-7,Titus,2,11,14,Titus,3,4,7,,,,,,,,,,,,,,,,
le.ep.me.m01.d06~lemeVE.Epistle.chapverse,1 Corinthians,9.19-27,1 Corinthians,9,19,27,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d07~lemeLI.Epistle.chapverse,Acts,19.1-8,Acts,19,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d09~lemeLI.Epistle.chapverse,2 Timothy,2.1-10,2 Timothy,2,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d10~lemeLI.Epistle.chapverse,Ephesians,4.7-13,Ephesians,4,7,13,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d11~lemeLI.Epistle.chapverse,Hebrews,13.7-16,Hebrews,13,7,16,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d14~lemeLI.Epistle.chapverse,Hebrews,10.32-38,Hebrews,10,32,38,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d15~lemeLI.Epistle.chapverse,Galatians,5.22-26; 6.1-2,Galatians,5,22,26,Galatians,6,1,2,,,,,,,,,,,,,,,,
le.ep.me.m01.d16~lemeLI.Epistle.chapverse,Acts,12.1-11,Acts,12,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d17~lemeLI.Epistle.chapverse,Hebrews,13.17-21,Hebrews,13,17,21,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d18~lemeLI.Epistle.chapverse,Hebrews,13.7-16,Hebrews,13,7,16,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d19~lemeLI.Epistle.chapverse,Galatians,5.22-26; 6.1-2,Galatians,5,22,26,Galatians,6,1,2,,,,,,,,,,,,,,,,
le.ep.me.m01.d20~lemeLI.Epistle.chapverse,2 Corinthians,4.6-15,2 Corinthians,4,6,15,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d21~lemeLI.Epistle.chapverse,Philippians,1.12-20,Philippians,1,12,20,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d22~lemeLI.Epistle.chapverse,2 Timothy,1.3-8,2 Timothy,1,3,8,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d23~lemeLI.Epistle.chapverse,Philippians,3.20-21; 4.1-3,Philippians,3,20,21,Philippians,4,1,3,,,,,,,,,,,,,,,,
le.ep.me.m01.d24~lemeLI.Epistle.chapverse,Galatians,5.22-26; 6.1-2,Galatians,5,22,26,Galatians,6,1,2,,,,,,,,,,,,,,,,
le.ep.me.m01.d25~lemeLI.Epistle.chapverse,Hebrews,7.26-28; 8.1-2,Hebrews,7,26,28,Hebrews,8,1,2,,,,,,,,,,,,,,,,
le.ep.me.m01.d27~lemeLI.Epistle.chapverse,Hebrews,7.26-28; 8.1-2,Hebrews,7,26,28,Hebrews,8,1,2,,,,,,,,,,,,,,,,
le.ep.me.m01.d28~lemeLI.Epistle.chapverse,Galatians,5.22-26; 6.1-2,Galatians,5,22,26,Galatians,6,1,2,,,,,,,,,,,,,,,,
le.ep.me.m01.d29~lemeLI.Epistle.chapverse,Hebrews,10.32-38,Hebrews,10,32,38,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d30~lemeLI.Epistle.chapverse,Hebrews,13.7-16,Hebrews,13,7,16,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.d31~lemeLI.Epistle.chapverse,1 Corinthians,12.27-31; 13.1-8,1 Corinthians,12,27,31,1 Corinthians,13,1,8,,,,,,,,,,,,,,,,
le.ep.me.m01.dSatAE~lemeLI.Epistle.chapverse,Ephesians,6.10-17,Ephesians,6,10,17,,,,,,,,,,,,,,,,,,,,
le.ep.me.m01.dSunAE~lemeLI.Epistle.chapverse,Ephesians,4.7-13,Ephesians,4,7,13,,,,,,,,,,,,,,,,,,,,
le.ep.me.m02.d01~lemeLI.Epistle.chapverse,Romans,8.28-39,Romans,8,28,39,,,,,,,,,,,,,,,,,,,,
le.ep.me.m02.d02~lemeLI.Epistle.chapverse,Hebrews,7.7-17,Hebrews,7,7,17,,,,,,,,,,,,,,,,,,,,
le.ep.me.m02.d03~lemeLI.Epistle.chapverse,Hebrews,9.11-14,Hebrews,9,11,14,,,,,,,,,,,,,,,,,,,,
le.ep.me.m02.d06~lemeLI.Epistle.chapverse,Hebrews,7.26-28; 8.1-2,Hebrews,7,26,28,Hebrews,8,1,2,,,,,,,,,,,,,,,,
