topic~key,Book,Citation,bk1,c1,vf1,vt1,bk2,c2,vf2,vt2,bk3,c3,vf3,vt3,bk4,c4,vf4,vf4,bk5,c5,vf5,vt5,bk6,c6,vf6,vt6
le.ep.mc.d075~lemcLI.Epistle.chapverse,Acts,2.38-43,Acts,2,38,43,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d076~lemcLI.Epistle.chapverse,Acts,3.1-8,Acts,3,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d077~lemcLI.Epistle.chapverse,Acts,3.11-16,Acts,3,11,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d078~lemcLI.Epistle.chapverse,Acts,5.12-20,Acts,5,12,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d079~lemcLI.Epistle.chapverse,Acts,3.19-26,Acts,3,19,26,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d080~lemcLI.Epistle.chapverse,Acts,4.1-10,Acts,4,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d081~lemcLI.Epistle.chapverse,Acts,4.13-22,Acts,4,13,22,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d082~lemcLI.Epistle.chapverse,Acts,4.23-31,Acts,4,23,31,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d083~lemcLI.Epistle.chapverse,Acts,5.1-11,Acts,5,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d084~lemcLI.Epistle.chapverse,Acts,5.21-32,Acts,5,21,32,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d085~lemcLI.Epistle.chapverse,Acts,6.1-7,Acts,6,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d086~lemcLI.Epistle.chapverse,Acts,6.8-15; 7.1-5; 47-60,Acts,6,8,15,Acts,7,1,5,Acts,7,47,60,,,,,,,,,,,,
le.ep.mc.d087~lemcLI.Epistle.chapverse,Acts,8.5-17,Acts,8,5,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d088~lemcLI.Epistle.chapverse,Acts,8.18-25,Acts,8,18,25,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d089~lemcLI.Epistle.chapverse,Acts,8.26-39,Acts,8,26,39,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d090~lemcLI.Epistle.chapverse,Acts,8.40; 9.1-19,Acts,8,40,40,Acts,9,1,19,,,,,,,,,,,,,,,,
le.ep.mc.d091~lemcLI.Epistle.chapverse,Acts,9.19-31,Acts,9,19,31,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d092~lemcLI.Epistle.chapverse,Acts,9.32-42,Acts,9,32,42,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d093~lemcLI.Epistle.chapverse,Acts,10.1-16,Acts,10,1,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d094~lemcLI.Epistle.chapverse,Acts,10.21-33,Acts,10,21,33,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d095~lemcLI.Epistle.chapverse,Acts,14.6-18,Acts,14,6,18,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d096~lemcLI.Epistle.chapverse,Acts,10.34-43,Acts,10,34,43,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d097~lemcLI.Epistle.chapverse,Acts,10.44-48; 11.1-10,Acts,10,44,48,Acts,11,1,10,,,,,,,,,,,,,,,,
le.ep.mc.d098~lemcLI.Epistle.chapverse,Acts,12.1-11,Acts,12,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d099~lemcLI.Epistle.chapverse,Acts,11.19-30,Acts,11,19,30,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d100~lemcLI.Epistle.chapverse,Acts,12.12-17,Acts,12,12,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d101~lemcLI.Epistle.chapverse,Acts,12.25; 13.1-12,Acts,12,25,25,Acts,13,1,12,,,,,,,,,,,,,,,,
le.ep.mc.d102~lemcLI.Epistle.chapverse,Acts,13.13-24,Acts,13,13,24,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d103~lemcLI.Epistle.chapverse,Acts,14.20-28; 15.1-4,Acts,14,20,28,Acts,15,1,4,,,,,,,,,,,,,,,,
le.ep.mc.d104~lemcLI.Epistle.chapverse,Acts,15.5-12,Acts,15,5,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d105~lemcLI.Epistle.chapverse,Acts,15.35-41,Acts,15,35,41,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d106~lemcLI.Epistle.chapverse,Acts,16.16-34,Acts,16,16,34,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d107~lemcLI.Epistle.chapverse,Acts,17.1-9,Acts,17,1,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d108~lemcLI.Epistle.chapverse,Acts,17.19-28,Acts,17,19,28,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d109~lemcLI.Epistle.chapverse,Acts,18.22-28,Acts,18,22,28,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d110~lemcLI.Epistle.chapverse,Acts,1.1-12,Acts,1,1,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d111~lemcLI.Epistle.chapverse,Acts,19.1-8,Acts,19,1,8,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d112~lemcLI.Epistle.chapverse,Acts,20.7-12,Acts,20,7,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d113~lemcLI.Epistle.chapverse,Acts,20.16-18; 28-36,Acts,20,16,18,Acts,20,28,36,,,,,,,,,,,,,,,,
le.ep.mc.d114~lemcLI.Epistle.chapverse,Acts,21.8-14,Acts,21,8,14,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d115~lemcLI.Epistle.chapverse,Acts,21.26-32,Acts,21,26,32,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d116~lemcLI.Epistle.chapverse,Acts,23.1-11,Acts,23,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d117~lemcLI.Epistle.chapverse,Acts,25.13-19,Acts,25,13,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d118~lemcLI.Epistle.chapverse,Acts,27.1-44; 28.1,Acts,27,1,44,Acts,28,1,1,,,,,,,,,,,,,,,,
le.ep.mc.d119~lemcLI.Epistle.chapverse,Acts,28.1-31,Acts,28,1,31,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d120~lemcLI.Epistle.chapverse,Acts,2.1-11,Acts,2,1,11,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d121~lemcLI.Epistle.chapverse,Ephesians,5.8-19,Ephesians,5,8,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d122~lemcLI.Epistle.chapverse,Romans,1.1-7; 13-17,Romans,1,1,7,Romans,1,13,17,,,,,,,,,,,,,,,,
le.ep.mc.d123~lemcLI.Epistle.chapverse,Romans,1.18-27,Romans,1,18,27,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d124~lemcLI.Epistle.chapverse,Romans,1.28-32; 2.1-9,Romans,1,28,32,Romans,2,1,9,,,,,,,,,,,,,,,,
le.ep.mc.d125~lemcLI.Epistle.chapverse,Romans,2.14-28,Romans,2,14,28,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d126~lemcLI.Epistle.chapverse,Romans,1.7-12,Romans,1,7,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d127~lemcLI.Epistle.chapverse,Hebrews,11.33-40; 12.1-2,Hebrews,11,33,40,Hebrews,12,1,2,,,,,,,,,,,,,,,,
le.ep.mc.d128~lemcLI.Epistle.chapverse,Romans,2.28-29; 3.1-18,Romans,2,28,29,Romans,3,1,18,,,,,,,,,,,,,,,,
